Action,Mean error
walking,0.185348393721506
eating,0.16192404065048321
smoking,0.17755082360003144
discussion,0.2700980179430917
directions,0.16838702002074568
greeting,0.3297101913811639
phoning,0.2740239641722292
posing,0.3041851843660697
purchases,0.29916318887844684
sitting,0.22024263601750135
sittingdown,0.26321064062183724
takingphoto,0.13544410002883522
waiting,0.2074863912211731
walkingdog,0.2676389374304563
walkingtogether,0.18706546289846301
