Iterations,Validation,Train
400.0,0.04178188368678093,0.07805177989415836
800.0,0.043292876332998276,0.06899729975499215
1200.0,0.05440570414066315,0.06401523184031242
1600.0,0.04238218441605568,0.06091949086636301
2000.0,0.039271030575037,0.058578190812841074
2400.0,0.03589314594864845,0.056613172683864885
2800.0,0.03821840509772301,0.05486963108181952
3200.0,0.036339521408081055,0.05367963846772905
3600.0,0.043867141008377075,0.05220951984636484
4000.0,0.048974134027957916,0.05070119471289219
4400.0,0.0490008145570755,0.04999045035801823
4800.0,0.05313556268811226,0.04943966475315396
